movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
234,21783,3.0,938852182,0,1994,Comedy,"","",688,2.70,1.08,267,725,830,410,333,55,1994,1.48,3.33,0.88,Comedy,Romance,Fantasy,Drama,Action
235,21249,4.0,939466134,1,1994,Comedy,Drama,"",3605,3.64,0.96,21,924,308,154,17,44,1984,18.18,4.20,0.76,Drama,Comedy,Romance,Thriller,Crime
235,24269,3.0,856817339,0,1994,Comedy,Drama,"",3605,3.64,0.96,161,446,299,497,594,74,1991,12.51,3.18,1.04,Drama,Romance,Comedy,Thriller,Crime
246,14204,4.0,837614652,1,1994,Documentary,"","",2288,4.06,0.95,515,272,474,265,509,48,1993,1.38,3.65,1.14,Drama,Thriller,Romance,Comedy,Action
256,11888,3.0,845675267,0,1994,Comedy,Sci-Fi,"",2181,2.73,1.02,780,293,551,158,44,90,1993,1.38,3.21,0.97,Action,Thriller,Drama,Adventure,Comedy
260,26112,4.0,966711961,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,924,913,852,367,539,35,1989,14.56,3.37,0.81,Comedy,Action,Romance,Drama,Thriller
261,24504,4.0,833132027,1,1994,Drama,"","",2233,3.63,0.95,17,95,11,457,593,37,1993,3.33,3.57,0.90,Drama,Thriller,Crime,Adventure,Comedy
267,21783,4.0,938851204,1,1995,Comedy,"","",813,2.91,1.12,725,830,410,333,818,48,1994,1.55,3.46,0.77,Comedy,Romance,Fantasy,Drama,Action
282,7711,5.0,837091978,1,1994,Drama,"","",2426,3.39,1.00,500,377,317,454,364,26,1993,1.50,3.65,1.29,Drama,Thriller,Comedy,Romance,Action
288,11888,4.0,845674532,1,1994,Action,Crime,Thriller,5165,3.24,1.18,110,318,480,231,595,27,1993,1.67,3.26,1.13,Comedy,Thriller,Adventure,Action,Crime
293,14157,3.0,1183485566,0,1994,Action,Crime,Drama,5587,4.06,0.81,19,586,500,344,588,23,1991,5.91,3.24,0.74,Comedy,Adventure,Crime,Children,Drama
293,29549,3.5,1187297372,1,1994,Action,Crime,Drama,5587,4.06,0.81,541,593,50,288,508,40,1992,4.53,2.74,1.17,Thriller,Crime,Comedy,Drama,Action
313,23843,3.0,839632214,0,1994,Animation,Children,"",271,3.04,1.06,648,475,534,277,490,100,1992,6.48,3.82,0.99,Drama,Thriller,Romance,Comedy,Action
318,23459,5.0,1091423897,1,1994,Crime,Drama,"",13826,4.45,0.72,356,296,381,932,778,47,1992,7.83,3.16,1.12,Drama,Comedy,Romance,Crime,Action
318,27990,4.0,1197772759,1,1994,Crime,Drama,"",13826,4.45,0.72,923,508,778,750,410,27,1986,16.18,3.46,1.13,Drama,Crime,Comedy,Thriller,Adventure
329,1436,1.0,847472495,0,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,81,924,318,17,527,100,1986,17.36,3.06,0.95,Drama,Romance,Comedy,Crime,Thriller
332,21331,4.0,836938312,1,1995,Horror,Sci-Fi,"",474,2.71,1.04,537,215,229,489,314,100,1993,6.43,4.28,0.99,Drama,Comedy,Romance,Action,Thriller
339,17686,3.0,1195555100,0,1995,Comedy,Romance,"",5030,3.52,0.92,141,21,39,253,539,43,1992,7.59,3.03,1.47,Comedy,Drama,Thriller,Romance,Adventure
339,18333,4.0,945581807,1,1995,Comedy,Romance,"",5030,3.52,0.92,587,367,586,500,356,12,1993,2.06,3.33,1.44,Comedy,Drama,Romance,Fantasy,Action
342,23459,5.0,947803255,1,1994,Comedy,"","",2568,3.52,1.02,492,635,838,933,892,100,1980,21.40,3.97,1.18,Drama,Comedy,Thriller,Romance,Mystery
342,27248,4.0,962797703,1,1994,Comedy,"","",2568,3.52,1.02,144,345,357,52,909,32,1981,19.53,3.88,0.61,Drama,Comedy,Romance,Adventure,Musical
344,21783,3.0,938851095,0,1994,Comedy,"","",8273,2.98,1.11,333,818,466,485,552,43,1994,1.59,3.44,0.80,Comedy,Romance,Drama,Action,Fantasy
353,18992,4.0,1238002505,1,1994,Action,Crime,Fantasy,3640,3.50,1.00,235,923,720,508,778,82,1989,12.82,3.91,0.85,Drama,Thriller,Comedy,Adventure,Action
356,15555,4.5,1157948145,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,608,664,39,595,345,8,1994,1.58,4.00,0.27,Comedy,Drama,Thriller,Crime,Romance
356,17427,4.5,1143420989,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,593,296,858,50,527,10,1986,17.37,3.60,0.84,Crime,Drama,Thriller,Horror,Mystery
356,23918,5.0,1424013193,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,527,318,"","","",2,1993,0.71,5.00,0.00,Drama,Crime,War,"",""
36,3959,5.0,857175644,1,1995,Crime,Drama,"",4547,3.94,0.90,494,32,648,736,"",15,1995,0.52,3.13,0.83,Thriller,Action,Adventure,Mystery,Sci-Fi
364,19095,4.0,847645738,1,1994,Adventure,Animation,Children,8464,3.78,0.93,339,253,10,480,231,25,1993,1.73,3.40,0.50,Adventure,Comedy,Thriller,Romance,Drama
364,25894,3.0,1159238607,0,1994,Adventure,Animation,Children,8464,3.78,0.93,344,480,1,780,380,18,1993,1.99,2.97,1.08,Thriller,Adventure,Action,Comedy,Sci-Fi
364,829,4.0,1329876249,1,1994,Adventure,Animation,Children,8464,3.78,0.93,145,596,158,48,163,28,1988,15.29,4.16,0.47,Action,Adventure,Children,Drama,Comedy
367,11888,3.0,845674572,0,1994,Action,Comedy,Crime,7577,3.16,1.00,589,377,364,47,253,34,1993,1.58,3.41,1.08,Thriller,Action,Adventure,Drama,Comedy
367,18992,3.0,1237933094,0,1994,Action,Comedy,Crime,7577,3.16,1.00,231,364,648,344,377,46,1989,10.39,4.09,0.78,Drama,Thriller,Adventure,Comedy,Action
368,3210,4.5,1119468967,1,1994,Adventure,Comedy,Western,3756,3.39,0.89,780,474,858,457,589,44,1986,17.60,3.55,0.91,Adventure,Action,Thriller,Comedy,Sci-Fi
371,21331,5.0,836937729,1,1994,Comedy,Drama,"",930,3.24,0.75,267,616,491,249,281,100,1993,6.26,4.40,0.92,Drama,Romance,Comedy,Action,Thriller
371,26005,3.0,831630805,0,1994,Comedy,Drama,"",930,3.24,0.75,353,593,364,509,46,53,1993,2.82,3.49,0.78,Drama,Crime,Thriller,Comedy,Children
377,1159,4.0,1018346853,1,1994,Action,Romance,Thriller,9053,3.49,0.94,592,21,555,969,589,15,1977,20.93,4.33,1.05,Thriller,Crime,Action,Sci-Fi,Mystery
380,2294,4.0,835736390,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,150,296,"","","",3,1992,3.21,4.00,1.00,Drama,Thriller,Adventure,IMAX,Crime
410,22121,3.0,841365041,0,1993,Children,Comedy,Fantasy,3972,2.99,0.93,110,208,356,161,593,27,1993,1.65,3.37,0.49,Drama,Adventure,Thriller,War,Comedy
432,4821,3.0,836076132,0,1994,Adventure,Comedy,Western,2737,2.74,0.94,282,266,356,39,364,32,1993,1.32,3.84,1.02,Drama,Comedy,Thriller,Crime,Action
440,21783,3.0,938849328,0,1993,Comedy,Romance,"",4180,3.60,0.81,587,497,345,356,"",5,1992,2.05,3.80,0.45,Comedy,Romance,Drama,Thriller,Fantasy
440,26439,3.0,896885478,0,1993,Comedy,Romance,"",4180,3.60,0.81,372,215,590,11,515,25,1982,18.28,4.56,0.92,Drama,Romance,Thriller,Comedy,Action
450,24269,2.0,856819397,0,1994,Comedy,Drama,"",631,3.34,0.98,556,34,266,224,277,100,1987,15.21,3.42,0.68,Drama,Romance,Comedy,Children,Musical
457,22596,4.0,835734888,1,1993,Thriller,"","",10736,3.97,0.78,593,161,318,329,150,12,1993,2.10,3.50,0.90,Drama,Thriller,Adventure,Crime,Sci-Fi
48,26005,3.0,831629950,0,1995,Animation,Children,Drama,2834,2.94,1.06,62,235,141,282,50,35,1993,3.38,3.46,0.82,Drama,Comedy,Crime,Thriller,Children
480,13610,3.5,1212215317,1,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,648,780,457,593,47,14,1992,5.76,3.57,0.83,Thriller,Action,Sci-Fi,Adventure,Mystery
480,15555,4.0,1157948214,1,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,765,253,356,608,664,11,1994,1.43,4.05,0.27,Drama,Comedy,Romance,Thriller,Crime
481,23843,3.0,839632665,0,1993,Drama,Thriller,"",1182,3.32,0.92,471,271,319,168,736,100,1993,6.49,3.88,0.81,Drama,Thriller,Romance,Comedy,Action
50,2088,5.0,854968088,1,1995,Crime,Mystery,Thriller,10221,4.35,0.75,538,247,448,535,334,58,1994,2.58,3.28,0.74,Drama,Thriller,Action,Romance,Adventure
500,3414,4.0,1033405909,1,1993,Comedy,Drama,"",7349,3.39,0.96,527,356,"","","",5,1994,0.84,3.40,0.55,War,Drama,Romance,Comedy,""
514,21331,5.0,836938062,1,1994,Comedy,"","",1038,3.50,0.86,372,345,308,531,328,100,1992,6.46,4.35,0.97,Drama,Comedy,Romance,Action,Thriller
52,24269,3.0,856815308,0,1995,Comedy,Drama,Romance,2033,3.54,0.91,608,733,36,17,"",15,1995,0.63,3.00,0.85,Drama,Thriller,Crime,Action,Romance
520,25912,4.0,1111630809,1,1993,Comedy,"","",3147,3.04,1.05,163,"","","","",2,1994,0.71,2.50,2.12,Action,Romance,Western,"",""
531,23459,4.0,1076959373,1,1993,Children,Drama,"",1660,3.49,0.96,62,453,524,590,948,20,1992,8.64,2.80,1.14,Drama,Romance,Western,Crime,Comedy
541,20158,4.0,1155355676,1,1982,Action,Sci-Fi,Thriller,6635,4.14,0.88,428,553,628,474,293,58,1992,6.48,3.69,0.75,Thriller,Drama,Action,Adventure,Crime
551,18992,5.0,1240130502,1,1993,Animation,Children,Fantasy,4460,3.71,0.97,922,785,910,345,515,100,1987,16.14,3.84,0.84,Drama,Thriller,Comedy,Action,Adventure
551,21331,5.0,836937252,1,1993,Animation,Children,Fantasy,4460,3.71,0.97,224,31,168,265,48,68,1993,1.51,4.47,0.76,Drama,Romance,Comedy,Action,Thriller
552,3210,4.5,1119396024,1,1993,Action,Adventure,Comedy,2769,3.22,0.92,168,282,"","","",5,1994,0.45,3.30,0.76,Drama,Action,Romance,"",""
562,4937,2.5,1067052959,0,1995,Comedy,Drama,"",1349,3.75,0.99,258,1,73,953,783,36,1988,17.23,3.28,1.22,Drama,Thriller,Romance,Children,Comedy
57,675,3.0,866568972,0,1995,Drama,"","",551,3.33,0.97,372,222,24,257,293,67,1994,4.31,3.40,0.78,Drama,Thriller,Crime,Romance,Mystery
586,829,4.0,1329874722,1,1990,Children,Comedy,"",6155,3.09,1.00,253,733,367,500,316,16,1992,4.48,4.12,0.50,Action,Adventure,Sci-Fi,Thriller,Comedy
588,4032,4.5,1361002839,1,1992,Adventure,Animation,Children,8980,3.67,0.92,293,47,110,296,593,37,1976,21.60,4.19,0.69,Drama,Comedy,Thriller,Romance,Crime
590,16576,4.0,835019498,1,1990,Adventure,Drama,Western,9497,3.72,0.97,150,380,"","","",3,1992,3.21,3.67,0.58,Adventure,Action,Thriller,Romance,IMAX
592,29549,1.5,1173571041,0,1989,Action,Crime,Thriller,10028,3.40,0.84,593,50,288,508,47,35,1993,3.37,2.81,1.19,Thriller,Crime,Comedy,Drama,Mystery
593,28426,4.0,1021741150,1,1991,Crime,Horror,Thriller,13692,4.18,0.85,318,2,342,367,587,9,1993,1.50,4.56,0.73,Comedy,Fantasy,Drama,Romance,Adventure
595,2136,4.5,1145932763,1,1991,Animation,Children,Fantasy,7539,3.65,0.98,364,509,11,265,351,43,1993,8.54,4.23,0.48,Romance,Drama,Comedy,Action,Thriller
595,23843,5.0,839630749,1,1991,Animation,Children,Fantasy,7539,3.65,0.98,588,590,296,"","",6,1992,2.42,3.83,1.33,Adventure,Drama,Comedy,Thriller,Western
597,15269,3.0,841265370,0,1990,Comedy,Romance,"",7314,3.41,0.98,50,21,589,454,110,44,1993,1.55,3.20,1.02,Thriller,Drama,Action,Crime,Sci-Fi
597,23843,3.0,839631124,0,1990,Comedy,Romance,"",7314,3.41,0.98,586,39,266,500,50,43,1993,1.52,3.58,1.20,Drama,Thriller,Comedy,Action,Romance
6,25969,4.0,1342272726,1,1995,Action,Crime,Thriller,5245,3.84,0.86,719,296,589,110,36,14,1994,1.34,3.93,0.92,Thriller,Action,Crime,Sci-Fi,Mystery
608,11078,4.5,1286031874,1,1996,Comedy,Crime,Drama,9505,4.09,0.93,1,150,457,593,296,12,1994,1.27,3.50,0.71,Thriller,Drama,Comedy,Crime,Adventure
608,23459,5.0,946194878,1,1996,Comedy,Crime,Drama,9505,4.09,0.93,41,921,898,594,34,100,1981,21.00,3.88,1.16,Drama,Romance,Comedy,Thriller,Adventure
616,1159,5.0,1018347719,1,1970,Animation,Children,"",1726,3.38,0.93,741,594,720,1,608,33,1979,19.70,4.55,0.83,Thriller,Action,Sci-Fi,Adventure,Mystery
628,29549,4.0,1414779967,1,1996,Crime,Drama,Mystery,2458,3.74,0.83,180,29,858,318,608,47,1991,9.05,2.93,1.18,Drama,Crime,Thriller,Comedy,Action
647,20219,3.0,867629837,0,1996,Action,Crime,Drama,1719,3.57,0.84,104,653,112,260,733,43,1994,4.57,3.05,0.87,Action,Adventure,Thriller,Sci-Fi,Mystery
648,14204,3.0,837614674,0,1996,Action,Adventure,Mystery,8117,3.37,0.90,497,246,515,272,474,50,1993,1.36,3.68,1.13,Drama,Romance,Thriller,Comedy,Action
648,20158,4.0,1155354274,1,1996,Action,Adventure,Mystery,8117,3.37,0.90,50,377,608,32,527,28,1991,8.23,3.77,0.93,Thriller,Action,Adventure,Drama,Crime
650,24269,4.0,856815720,1,1996,Drama,"","",297,3.40,1.02,82,728,26,41,832,40,1995,2.99,2.90,1.10,Drama,Thriller,Comedy,Crime,Romance
653,27990,2.0,1197593163,0,1996,Action,Adventure,Fantasy,3148,3.22,0.97,508,778,750,410,364,25,1988,13.83,3.48,1.12,Drama,Crime,Comedy,Thriller,Adventure
668,21894,5.0,972502190,1,1955,Drama,"","",160,4.08,1.02,902,228,"","","",2,1978,24.04,4.00,0.00,Romance,Drama,Comedy,"",""
708,24269,3.0,856815307,0,1996,Comedy,Romance,"",3337,3.39,0.91,608,733,36,17,"",13,1995,0.63,3.00,0.91,Drama,Thriller,Crime,Action,Romance
733,15555,4.0,900953203,1,1996,Action,Adventure,Thriller,6837,3.65,0.92,457,22,50,441,784,80,1991,9.58,3.88,0.68,Drama,Comedy,Thriller,Crime,Romance
736,28197,3.0,1037154830,0,1996,Action,Adventure,Romance,6990,3.18,1.02,362,590,480,"","",8,1994,1.85,3.38,0.92,Adventure,Action,Sci-Fi,Romance,Thriller
736,3606,2.0,1129822554,0,1996,Action,Adventure,Romance,6990,3.18,1.02,316,595,349,165,50,31,1991,10.19,3.90,0.89,Thriller,Action,Adventure,Crime,Drama
745,6194,4.5,1129563008,1,1995,Animation,Children,Comedy,2625,4.16,0.91,1,236,186,"","",5,1984,24.71,3.80,0.76,Comedy,Romance,Action,Adventure,Fantasy
750,29454,3.0,1063988014,0,1964,Comedy,War,"",5151,4.24,0.88,368,"","","","",2,1965,40.31,3.75,1.06,Adventure,Western,Comedy,"",""
788,14157,3.0,1183484093,0,1996,Comedy,Fantasy,Romance,4208,2.87,1.08,19,586,500,344,588,20,1991,6.15,3.27,0.79,Comedy,Adventure,Crime,Children,Drama
801,20219,2.0,867630413,0,1996,Children,Comedy,"",390,2.93,1.06,996,782,725,63,694,100,1995,2.42,2.62,0.89,Comedy,Action,Crime,Drama,Thriller
808,18333,3.0,945584934,0,1996,Adventure,Children,"",181,3.13,1.16,986,173,442,15,316,53,1994,1.65,3.13,1.13,Action,Comedy,Adventure,Drama,Thriller
813,20219,2.0,867630697,0,1996,Comedy,"","",101,2.76,1.06,996,782,725,63,694,100,1995,2.41,2.55,0.85,Crime,Drama,Comedy,Action,Thriller
858,24269,4.0,856817417,1,1972,Crime,Drama,"",8996,4.35,0.86,272,213,161,446,299,81,1990,13.32,3.19,1.00,Drama,Comedy,Romance,Thriller,Crime
919,26112,5.0,966712207,1,1939,Adventure,Children,Fantasy,5138,3.98,0.94,2,260,924,913,852,41,1989,13.70,3.32,0.82,Comedy,Action,Romance,Adventure,Drama
923,27990,4.5,1197593198,1,1941,Drama,Mystery,"",3926,4.13,0.96,508,778,750,410,364,26,1988,13.64,3.42,1.14,Drama,Crime,Comedy,Thriller,Adventure
924,28839,2.5,1069147357,0,1968,Adventure,Drama,Sci-Fi,5530,3.95,1.05,589,480,610,780,316,11,1989,6.58,3.55,0.79,Action,Sci-Fi,Adventure,Thriller,Horror
944,23459,4.5,1110177078,1,1937,Drama,"","",259,3.83,0.92,914,928,953,81,161,57,1990,12.23,3.17,1.21,Drama,Romance,Comedy,Crime,Thriller
946,21249,4.0,939465527,1,1942,Comedy,Drama,War,310,4.02,0.88,909,778,953,501,824,22,1983,20.04,4.32,0.78,Drama,Comedy,Thriller,Romance,Crime
953,29089,4.5,1101324914,1,1946,Drama,Fantasy,Romance,3081,4.04,0.99,158,552,48,"","",3,1994,1.15,3.67,0.29,Romance,Adventure,Children,Action,Musical
998,20219,3.0,867630751,0,1996,Action,Crime,"",180,3.21,1.13,996,782,725,63,694,100,1995,0.38,2.54,0.85,Crime,Drama,Comedy,Action,Thriller
999,20219,2.0,867630164,0,1996,Crime,Film-Noir,"",707,3.34,0.89,782,725,63,694,18,100,1995,3.05,2.76,0.93,Action,Thriller,Adventure,Comedy,Drama
1,7743,1.0,1135867657,0,1995,Adventure,Animation,Children,10759,3.91,0.89,924,741,648,594,541,21,1984,17.51,2.81,1.20,Thriller,Drama,Sci-Fi,Action,Adventure
11,9630,5.0,835680994,1,1995,Comedy,Drama,Romance,3846,3.69,0.88,356,282,420,47,300,32,1993,1.52,3.66,1.21,Thriller,Action,Drama,Crime,Comedy
110,2393,5.0,1216137548,1,1995,Action,Drama,War,11637,4.04,0.97,593,47,288,296,150,11,1987,17.17,4.18,1.44,Thriller,Crime,Drama,Comedy,Mystery
132,28183,3.0,918787614,0,1995,Thriller,"","",461,2.70,1.05,292,257,906,736,454,59,1986,17.52,4.51,0.63,Thriller,Drama,Action,Crime,Mystery
149,451,3.0,1224439106,0,1994,Crime,Drama,Thriller,222,3.71,0.91,909,741,123,232,70,26,1991,8.44,3.31,0.60,Drama,Thriller,Comedy,Crime,Romance
150,27339,5.0,835373807,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,"","","","","",3,1992,2.89,3.00,0.00,"","","","",""
150,3858,2.5,1266795965,0,1995,Adventure,Drama,IMAX,10324,3.86,0.86,152,924,32,899,596,12,1984,19.55,2.29,1.80,Sci-Fi,Musical,Drama,Thriller,Romance
150,451,3.0,1224588298,0,1995,Adventure,Drama,IMAX,10324,3.86,0.86,909,741,123,232,70,31,1990,9.87,3.21,0.64,Drama,Thriller,Comedy,Crime,Romance
153,8386,3.0,848132650,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,778,296,590,592,"",9,1994,2.69,3.56,0.73,Crime,Drama,Thriller,Comedy,Action
160,6366,2.0,989896479,0,1995,Action,Adventure,Mystery,3235,2.60,1.01,836,547,786,494,70,100,1992,9.15,3.29,1.17,Thriller,Action,Drama,Comedy,Romance
161,27339,5.0,835374008,1,1995,Drama,Thriller,War,5113,3.74,0.80,10,292,316,588,349,16,1993,1.67,3.75,0.93,Action,Adventure,Thriller,Drama,Sci-Fi
163,22314,3.0,857458309,0,1995,Action,Romance,Western,3058,3.44,0.94,552,380,474,592,480,34,1994,3.43,3.47,0.71,Action,Thriller,Adventure,Crime,Sci-Fi
165,19919,3.0,840946441,0,1995,Action,Crime,Thriller,7392,3.50,0.89,590,"","","","",7,1992,2.30,3.14,0.38,Adventure,Western,Drama,"",""
165,27339,3.0,835373851,0,1995,Action,Crime,Thriller,7392,3.50,0.89,588,349,344,150,"",8,1993,2.00,3.75,0.89,Adventure,Drama,Comedy,Action,Thriller
174,20252,2.0,1112674782,0,1995,Comedy,"","",450,2.43,1.09,1,150,17,253,345,49,1990,12.47,3.31,0.69,Drama,Comedy,Adventure,Thriller,Romance
175,451,3.0,1224515290,0,1995,Drama,"","",1043,3.50,1.10,909,741,123,232,70,28,1991,8.15,3.29,0.58,Drama,Thriller,Comedy,Crime,Romance
196,21711,1.0,1111473538,0,1995,Horror,Sci-Fi,"",2957,2.85,0.98,345,32,543,342,172,17,1992,8.68,2.12,1.44,Thriller,Comedy,Action,Sci-Fi,Romance
2,15947,2.0,1320791173,0,1995,Adventure,Children,Fantasy,4853,3.21,0.96,919,924,288,253,364,28,1989,12.47,4.02,1.17,Drama,Crime,Thriller,Adventure,Action
208,22314,3.0,857458401,0,1995,Action,Adventure,Sci-Fi,5958,2.85,1.03,70,377,204,552,380,40,1994,3.18,3.48,0.68,Action,Thriller,Adventure,Crime,Comedy
231,21515,4.0,845468505,1,1994,Adventure,Comedy,"",7051,2.93,1.21,595,349,165,380,"",12,1993,2.07,3.25,1.29,Action,Thriller,Romance,Crime,Adventure
231,26222,4.0,1261407073,1,1994,Adventure,Comedy,"",7051,2.93,1.21,457,551,441,367,648,58,1990,11.88,3.03,0.87,Thriller,Action,Crime,Mystery,Drama
231,9569,4.0,845358220,1,1994,Adventure,Comedy,"",7051,2.93,1.21,165,588,153,344,590,11,1993,2.14,3.73,0.79,Comedy,Adventure,Crime,Action,Thriller
232,24528,4.0,975220617,1,1994,Comedy,Drama,Romance,1373,4.03,0.85,50,593,110,318,648,14,1993,6.20,3.71,1.17,Action,Thriller,Crime,Adventure,Drama
235,6366,2.0,979963247,0,1994,Comedy,Drama,"",3605,3.64,0.96,933,952,914,490,207,81,1989,12.37,3.67,1.15,Drama,Thriller,Action,Crime,Comedy
249,853,3.0,856443644,0,1994,Drama,Romance,"",1090,3.71,0.90,50,150,111,858,246,69,1992,5.30,3.55,0.92,Comedy,Drama,Romance,Crime,Thriller
260,5523,4.5,1323355423,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,480,527,337,356,628,22,1993,4.82,3.89,0.53,Thriller,Drama,Crime,Comedy,Action
260,8092,4.0,892047288,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,261,"","","","",2,1994,0.71,3.00,1.41,Drama,"","","",""
266,6366,5.0,979501814,1,1994,Drama,Romance,War,3492,3.48,1.03,303,368,110,920,527,70,1989,11.48,3.66,1.10,Drama,Thriller,Action,Crime,Comedy
267,7655,3.0,1215150400,0,1995,Comedy,"","",813,2.91,1.12,765,216,661,333,596,54,1985,17.71,3.84,0.56,Drama,Adventure,Comedy,Children,Thriller
276,7362,3.0,831418023,0,1994,Comedy,Romance,"",1214,2.97,0.95,246,293,62,337,151,44,1993,2.92,3.77,1.01,Drama,Thriller,Action,Crime,Mystery
278,853,3.0,856442793,0,1995,Comedy,"","",259,3.00,0.84,500,372,539,296,39,35,1993,3.73,3.77,0.81,Comedy,Drama,Romance,Thriller,Children
288,3858,4.5,1266797865,1,1994,Action,Crime,Thriller,5165,3.24,1.18,454,253,47,527,1,54,1985,16.25,2.82,1.44,Drama,Thriller,Comedy,Mystery,Crime
296,19289,4.0,1189484441,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,457,593,110,"","",6,1993,1.83,2.92,1.46,Thriller,Action,Horror,Crime,War
